date Tue Apr 7 05:11:33.914 pm 2020
base hex  timestamps absolute
internal events logged
// version 11.0.0
   0.015342 CAN 1 Status:chip status error active
   0.015342 CAN 2 Status:chip status error active
   1.015342 CAN 1 Status:chip status error active
   1.015342 CAN 2 Status:chip status error active
   2.015342 CAN 1 Status:chip status error active
   2.015342 CAN 2 Status:chip status error active
   3.015343 CAN 1 Status:chip status error active
   3.015343 CAN 2 Status:chip status error active
   4.015343 CAN 1 Status:chip status error active
   4.015343 CAN 2 Status:chip status error active
   5.015343 CAN 1 Status:chip status error active
   5.015343 CAN 2 Status:chip status error active
   6.015344 CAN 1 Status:chip status error active
   6.015344 CAN 2 Status:chip status error active
   7.015344 CAN 1 Status:chip status error active
   7.015344 CAN 2 Status:chip status error active
   8.015344 CAN 1 Status:chip status error active
   8.015344 CAN 2 Status:chip status error active
   9.015345 CAN 1 Status:chip status error active
   9.015345 CAN 2 Status:chip status error active
  10.015345 CAN 1 Status:chip status error active
  10.015345 CAN 2 Status:chip status error active
  11.015345 CAN 1 Status:chip status error active
  11.015345 CAN 2 Status:chip status error active
  12.015346 CAN 1 Status:chip status error active
  12.015346 CAN 2 Status:chip status error active
  13.015346 CAN 1 Status:chip status error active
  13.015346 CAN 2 Status:chip status error active
  14.015346 CAN 1 Status:chip status error active
  14.015346 CAN 2 Status:chip status error active
  15.015347 CAN 1 Status:chip status error active
  15.015347 CAN 2 Status:chip status error active
  16.015347 CAN 1 Status:chip status error active
  16.015347 CAN 2 Status:chip status error active
  17.015347 CAN 1 Status:chip status error active
  17.015347 CAN 2 Status:chip status error active
  18.015347 CAN 1 Status:chip status error active
  18.015347 CAN 2 Status:chip status error active
  19.015348 CAN 1 Status:chip status error active
  19.015348 CAN 2 Status:chip status error active
  20.015348 CAN 1 Status:chip status error active
  20.015348 CAN 2 Status:chip status error active
  21.015348 CAN 1 Status:chip status error active
  21.015348 CAN 2 Status:chip status error active
  22.015349 CAN 1 Status:chip status error active
  22.015349 CAN 2 Status:chip status error active
  23.015349 CAN 1 Status:chip status error active
  23.015349 CAN 2 Status:chip status error active
  24.015349 CAN 1 Status:chip status error active
  24.015349 CAN 2 Status:chip status error active
  25.015350 CAN 1 Status:chip status error active
  25.015350 CAN 2 Status:chip status error active
  26.015350 CAN 1 Status:chip status error active
  26.015350 CAN 2 Status:chip status error active
  27.015350 CAN 1 Status:chip status error active
  27.015350 CAN 2 Status:chip status error active
  28.015351 CAN 1 Status:chip status error active
  28.015351 CAN 2 Status:chip status error active
  29.015351 CAN 1 Status:chip status error active
  29.015351 CAN 2 Status:chip status error active
  30.015351 CAN 1 Status:chip status error active
  30.015351 CAN 2 Status:chip status error active
  31.015352 CAN 1 Status:chip status error active
  31.015352 CAN 2 Status:chip status error active
  32.015352 CAN 1 Status:chip status error active
  32.015352 CAN 2 Status:chip status error active
  33.015352 CAN 1 Status:chip status error active
  33.015352 CAN 2 Status:chip status error active
  34.015352 CAN 1 Status:chip status error active
  34.015352 CAN 2 Status:chip status error active
  35.015353 CAN 1 Status:chip status error active
  35.015353 CAN 2 Status:chip status error active
  36.015353 CAN 1 Status:chip status error active
  36.015353 CAN 2 Status:chip status error active
  37.015353 CAN 1 Status:chip status error active
  37.015353 CAN 2 Status:chip status error active
  38.015354 CAN 1 Status:chip status error active
  38.015354 CAN 2 Status:chip status error active
  39.015354 CAN 1 Status:chip status error active
  39.015354 CAN 2 Status:chip status error active
  40.015354 CAN 1 Status:chip status error active
  40.015354 CAN 2 Status:chip status error active
  41.015355 CAN 1 Status:chip status error active
  41.015355 CAN 2 Status:chip status error active
  42.015355 CAN 1 Status:chip status error active
  42.015355 CAN 2 Status:chip status error active
  43.015355 CAN 1 Status:chip status error active
  43.015355 CAN 2 Status:chip status error active
  44.015356 CAN 1 Status:chip status error active
  44.015356 CAN 2 Status:chip status error active
  45.015356 CAN 1 Status:chip status error active
  45.015356 CAN 2 Status:chip status error active
  46.015356 CAN 1 Status:chip status error active
  46.015356 CAN 2 Status:chip status error active
  47.015357 CAN 1 Status:chip status error active
  47.015357 CAN 2 Status:chip status error active
  48.015357 CAN 1 Status:chip status error active
  48.015357 CAN 2 Status:chip status error active
  49.015357 CAN 1 Status:chip status error active
  49.015357 CAN 2 Status:chip status error active
  50.015357 CAN 1 Status:chip status error active
  50.015357 CAN 2 Status:chip status error active
  51.015358 CAN 1 Status:chip status error active
  51.015358 CAN 2 Status:chip status error active
  52.015358 CAN 1 Status:chip status error active
  52.015358 CAN 2 Status:chip status error active
  53.015358 CAN 1 Status:chip status error active
  53.015358 CAN 2 Status:chip status error active
  54.015359 CAN 1 Status:chip status error active
  54.015359 CAN 2 Status:chip status error active
  55.015359 CAN 1 Status:chip status error active
  55.015359 CAN 2 Status:chip status error active
  56.015359 CAN 1 Status:chip status error active
  56.015359 CAN 2 Status:chip status error active
  57.015360 CAN 1 Status:chip status error active
  57.015360 CAN 2 Status:chip status error active
  58.015360 CAN 1 Status:chip status error active
  58.015360 CAN 2 Status:chip status error active
  59.015360 CAN 1 Status:chip status error active
  59.015360 CAN 2 Status:chip status error active
  60.015361 CAN 1 Status:chip status error active
  60.015361 CAN 2 Status:chip status error active
  61.015361 CAN 1 Status:chip status error active
  61.015361 CAN 2 Status:chip status error active
  62.015361 CAN 1 Status:chip status error active
  62.015361 CAN 2 Status:chip status error active
  63.015362 CAN 1 Status:chip status error active
  63.015362 CAN 2 Status:chip status error active
  64.015362 CAN 1 Status:chip status error active
  64.015362 CAN 2 Status:chip status error active
  65.015362 CAN 1 Status:chip status error active
  65.015362 CAN 2 Status:chip status error active
  66.015362 CAN 1 Status:chip status error active
  66.015362 CAN 2 Status:chip status error active
  67.015363 CAN 1 Status:chip status error active
  67.015363 CAN 2 Status:chip status error active
  68.015363 CAN 1 Status:chip status error active
  68.015363 CAN 2 Status:chip status error active
  69.015363 CAN 1 Status:chip status error active
  69.015363 CAN 2 Status:chip status error active
  70.015364 CAN 1 Status:chip status error active
  70.015364 CAN 2 Status:chip status error active
  71.015364 CAN 1 Status:chip status error active
  71.015364 CAN 2 Status:chip status error active
  72.015364 CAN 1 Status:chip status error active
  72.015364 CAN 2 Status:chip status error active
  73.015365 CAN 1 Status:chip status error active
  73.015365 CAN 2 Status:chip status error active
  74.015365 CAN 1 Status:chip status error active
  74.015365 CAN 2 Status:chip status error active
  75.015365 CAN 1 Status:chip status error active
  75.015365 CAN 2 Status:chip status error active
  76.015366 CAN 1 Status:chip status error active
  76.015366 CAN 2 Status:chip status error active
  77.015366 CAN 1 Status:chip status error active
  77.015366 CAN 2 Status:chip status error active
  78.015366 CAN 1 Status:chip status error active
  78.015366 CAN 2 Status:chip status error active
  79.015367 CAN 1 Status:chip status error active
  79.015367 CAN 2 Status:chip status error active
  80.015367 CAN 1 Status:chip status error active
  80.015367 CAN 2 Status:chip status error active
  81.015367 CAN 1 Status:chip status error active
  81.015367 CAN 2 Status:chip status error active
  82.015367 CAN 1 Status:chip status error active
  82.015367 CAN 2 Status:chip status error active
  83.015368 CAN 1 Status:chip status error active
  83.015368 CAN 2 Status:chip status error active
  84.015368 CAN 1 Status:chip status error active
  84.015368 CAN 2 Status:chip status error active
  85.015368 CAN 1 Status:chip status error active
  85.015368 CAN 2 Status:chip status error active
  86.015369 CAN 1 Status:chip status error active
  86.015369 CAN 2 Status:chip status error active
  87.015369 CAN 1 Status:chip status error active
  87.015369 CAN 2 Status:chip status error active
  88.015369 CAN 1 Status:chip status error active
  88.015369 CAN 2 Status:chip status error active
  89.015370 CAN 1 Status:chip status error active
  89.015370 CAN 2 Status:chip status error active
  90.015370 CAN 1 Status:chip status error active
  90.015370 CAN 2 Status:chip status error active
  91.015370 CAN 1 Status:chip status error active
  91.015370 CAN 2 Status:chip status error active
  92.015371 CAN 1 Status:chip status error active
  92.015371 CAN 2 Status:chip status error active
  93.015371 CAN 1 Status:chip status error active
  93.015371 CAN 2 Status:chip status error active
  94.015371 CAN 1 Status:chip status error active
  94.015371 CAN 2 Status:chip status error active
  95.015372 CAN 1 Status:chip status error active
  95.015372 CAN 2 Status:chip status error active
  96.015372 CAN 1 Status:chip status error active
  96.015372 CAN 2 Status:chip status error active
  97.015372 CAN 1 Status:chip status error active
  97.015372 CAN 2 Status:chip status error active
  98.015372 CAN 1 Status:chip status error active
  98.015372 CAN 2 Status:chip status error active
  99.015373 CAN 1 Status:chip status error active
  99.015373 CAN 2 Status:chip status error active
 100.015373 CAN 1 Status:chip status error active
 100.015373 CAN 2 Status:chip status error active
 101.015373 CAN 1 Status:chip status error active
 101.015373 CAN 2 Status:chip status error active
 102.015374 CAN 1 Status:chip status error active
 102.015374 CAN 2 Status:chip status error active
 103.015374 CAN 1 Status:chip status error active
 103.015374 CAN 2 Status:chip status error active
 104.015374 CAN 1 Status:chip status error active
 104.015374 CAN 2 Status:chip status error active
 105.015375 CAN 1 Status:chip status error active
 105.015375 CAN 2 Status:chip status error active
 106.015375 CAN 1 Status:chip status error active
 106.015375 CAN 2 Status:chip status error active
 107.015375 CAN 1 Status:chip status error active
 107.015375 CAN 2 Status:chip status error active
 108.015376 CAN 1 Status:chip status error active
 108.015376 CAN 2 Status:chip status error active
 109.015376 CAN 1 Status:chip status error active
 109.015376 CAN 2 Status:chip status error active
 110.015376 CAN 1 Status:chip status error active
 110.015376 CAN 2 Status:chip status error active
 111.015377 CAN 1 Status:chip status error active
 111.015377 CAN 2 Status:chip status error active
 112.015377 CAN 1 Status:chip status error active
 112.015377 CAN 2 Status:chip status error active
 113.015377 CAN 1 Status:chip status error active
 113.015377 CAN 2 Status:chip status error active
 114.015377 CAN 1 Status:chip status error active
 114.015377 CAN 2 Status:chip status error active
 115.015378 CAN 1 Status:chip status error active
 115.015378 CAN 2 Status:chip status error active
 116.015378 CAN 1 Status:chip status error active
 116.015378 CAN 2 Status:chip status error active
 117.015378 CAN 1 Status:chip status error active
 117.015378 CAN 2 Status:chip status error active
 118.015379 CAN 1 Status:chip status error active
 118.015379 CAN 2 Status:chip status error active
 119.015379 CAN 1 Status:chip status error active
 119.015379 CAN 2 Status:chip status error active
 120.015379 CAN 1 Status:chip status error active
 120.015379 CAN 2 Status:chip status error active
 121.015380 CAN 1 Status:chip status error active
 121.015380 CAN 2 Status:chip status error active
 122.015380 CAN 1 Status:chip status error active
 122.015380 CAN 2 Status:chip status error active
 123.015380 CAN 1 Status:chip status error active
 123.015380 CAN 2 Status:chip status error active
 124.015381 CAN 1 Status:chip status error active
 124.015381 CAN 2 Status:chip status error active
 125.015381 CAN 1 Status:chip status error active
 125.015381 CAN 2 Status:chip status error active
 126.015381 CAN 1 Status:chip status error active
 126.015381 CAN 2 Status:chip status error active
 127.015382 CAN 1 Status:chip status error active
 127.015382 CAN 2 Status:chip status error active
 128.015382 CAN 1 Status:chip status error active
 128.015382 CAN 2 Status:chip status error active
 129.015382 CAN 1 Status:chip status error active
 129.015382 CAN 2 Status:chip status error active
 130.015382 CAN 1 Status:chip status error active
 130.015382 CAN 2 Status:chip status error active
 131.015383 CAN 1 Status:chip status error active
 131.015383 CAN 2 Status:chip status error active
 132.015383 CAN 1 Status:chip status error active
 132.015383 CAN 2 Status:chip status error active
 133.015383 CAN 1 Status:chip status error active
 133.015383 CAN 2 Status:chip status error active
 134.015384 CAN 1 Status:chip status error active
